ID,Category,User Story,Expected Behavior,Test Method,Status,Error Found,Fixed
US-01,CLI,Single chart upload and analysis,App accepts one chart image and calls vision API returning full analysis report,Run main.py --chart single.png --asset GBPJPY=X,PASS,,
US-02,CLI,Multi-chart upload (5 TFs),App accepts 5+ chart images calls multi-chart vision path and shows Multi-TF breakdown table,Run main.py --chart 1d.png 4h.png 1h.png 15m.png 5m.png --asset GBPJPY=X,PASS,,
US-03,CLI,Any image format (JPG/PNG/WEBP),PIL converts any format to PNG before sending to API; if PIL missing native format is sent,Pass .jpg and .webp files and verify no format error,PASS,,
US-04,CLI,--no-news skips news and calendar,News and calendar steps are skipped and score uses news=0 and calendar=empty,Run with --no-news and verify no news/calendar API calls made,PASS,,
US-05,CLI,--export auto-names JSON file,With --export and no path JSON saved as ict_GBPJPY_YYYYMMDD_HHMMSS.json in current dir,Run with --export and verify file created with auto-generated name,PASS,,
US-06,CLI,--export with custom path,With --export /path/to/file.json JSON is saved at that exact path,Run with --export custom.json and verify correct path written,PASS,,
US-07,CLI,Missing chart file shows clear error,If chart file does not exist print red error and exit with code 1 without making any API calls,Run with --chart nonexistent.png and verify clean error + exit 1,PASS,,
US-08,CLI,Missing API key shows clear error,If ANTHROPIC_API_KEY not set in env print red error and exit with code 1,Run without .env and verify error message shown,PASS,,
US-09,Market,Live price fetched for GBPJPY,current_price is populated from yfinance 1-minute candle data (most recent close),Inspect market_data output for current_price being a non-null float,PASS,,
US-10,Market,PDH/PDL/PDC from previous day,pdh/pdl/pdc come from hist_daily.iloc[-2] which is yesterday's complete daily candle,Inspect market_data output for pdh/pdl/pdc and verify they match prior day,PASS,,
US-11,Market,Asian session range (00:00-08:00 UTC),asian_high/asian_low computed from 1M candles between 00:00 and 08:00 UTC today,Inspect market_data output for asian_high/asian_low being non-null,PASS,,
US-12,Market,London session range (07:00-10:00 UTC),london_high/london_low computed from 1M candles between 07:00 and 10:00 UTC today (3-hour window),Inspect market_data output; compare asian_range vs london_range to confirm different values,FAIL,BUG-01: market_data.py:41 uses hour=8 as London end time so London range is only 07:00-08:00 UTC (1 hour) instead of 07:00-10:00 UTC (3 hours),YES
US-13,Market,Intraday trend from 15M candles,trend_direction is bullish/bearish/neutral derived from comparing close of oldest vs newest of last 4 x 15M candles,Inspect market_data intraday_trend value and verify direction matches recent price action,PASS,,
